filepath,note,midi,velocity,articulation,pedal,duration,take
data/piano_phase1/C3/C3_v60_portato_ped_t2.wav,C3,48,60,portato,1,1.14,2
data/piano_phase1/C3/C3_v60_sustain_noped_t2.wav,C3,48,60,sustain,0,1.791,2
data/piano_phase1/C3/C3_v30_portato_ped_t2.wav,C3,48,30,portato,1,1.125,2
data/piano_phase1/C3/C3_v60_portato_ped_t1.wav,C3,48,60,portato,1,1.14,1
data/piano_phase1/C3/C3_v90_legato_noped_t2.wav,C3,48,90,legato,0,2.258,2
data/piano_phase1/C3/C3_v90_staccato_noped_t2.wav,C3,48,90,staccato,0,0.696,2
data/piano_phase1/C3/C3_v60_staccato_ped_t2.wav,C3,48,60,staccato,1,0.689,2
data/piano_phase1/C3/C3_v110_sustain_ped_t2.wav,C3,48,110,sustain,1,1.792,2
data/piano_phase1/C3/C3_v90_legato_ped_t1.wav,C3,48,90,legato,1,2.258,1
data/piano_phase1/C3/C3_v30_sustain_noped_t2.wav,C3,48,30,sustain,0,1.777,2
data/piano_phase1/C3/C3_v90_sustain_noped_t1.wav,C3,48,90,sustain,0,1.792,1
data/piano_phase1/C3/C3_v60_staccato_ped_t1.wav,C3,48,60,staccato,1,0.689,1
data/piano_phase1/C3/C3_v90_sustain_ped_t1.wav,C3,48,90,sustain,1,1.792,1
data/piano_phase1/C3/C3_v60_legato_ped_t2.wav,C3,48,60,legato,1,2.258,2
data/piano_phase1/C3/C3_v60_staccato_noped_t1.wav,C3,48,60,staccato,0,0.689,1
data/piano_phase1/C3/C3_v60_portato_noped_t2.wav,C3,48,60,portato,0,1.14,2
data/piano_phase1/C3/C3_v90_portato_noped_t1.wav,C3,48,90,portato,0,1.147,1
data/piano_phase1/C3/C3_v90_sustain_noped_t2.wav,C3,48,90,sustain,0,1.792,2
data/piano_phase1/C3/C3_v60_legato_noped_t2.wav,C3,48,60,legato,0,2.258,2
data/piano_phase1/C3/C3_v60_portato_noped_t1.wav,C3,48,60,portato,0,1.14,1
data/piano_phase1/C3/C3_v30_sustain_ped_t2.wav,C3,48,30,sustain,1,1.777,2
data/piano_phase1/C3/C3_v110_staccato_ped_t1.wav,C3,48,110,staccato,1,0.691,1
data/piano_phase1/C3/C3_v90_portato_ped_t2.wav,C3,48,90,portato,1,1.147,2
data/piano_phase1/C3/C3_v110_staccato_noped_t1.wav,C3,48,110,staccato,0,0.691,1
data/piano_phase1/C3/C3_v30_staccato_ped_t2.wav,C3,48,30,staccato,1,0.674,2
data/piano_phase1/C3/C3_v60_legato_ped_t1.wav,C3,48,60,legato,1,2.258,1
data/piano_phase1/C3/C3_v60_sustain_noped_t1.wav,C3,48,60,sustain,0,1.791,1
data/piano_phase1/C3/C3_v110_portato_ped_t2.wav,C3,48,110,portato,1,1.14,2
data/piano_phase1/C3/C3_v30_portato_noped_t1.wav,C3,48,30,portato,0,1.125,1
data/piano_phase1/C3/C3_v110_sustain_noped_t2.wav,C3,48,110,sustain,0,1.792,2
data/piano_phase1/C3/C3_v110_portato_ped_t1.wav,C3,48,110,portato,1,1.14,1
data/piano_phase1/C3/C3_v110_staccato_noped_t2.wav,C3,48,110,staccato,0,0.691,2
data/piano_phase1/C3/C3_v30_sustain_ped_t1.wav,C3,48,30,sustain,1,1.777,1
data/piano_phase1/C3/C3_v30_staccato_noped_t1.wav,C3,48,30,staccato,0,0.674,1
data/piano_phase1/C3/C3_v110_legato_noped_t1.wav,C3,48,110,legato,0,2.258,1
data/piano_phase1/C3/C3_v60_legato_noped_t1.wav,C3,48,60,legato,0,2.258,1
data/piano_phase1/C3/C3_v90_legato_noped_t1.wav,C3,48,90,legato,0,2.258,1
data/piano_phase1/C3/C3_v60_sustain_ped_t1.wav,C3,48,60,sustain,1,1.791,1
data/piano_phase1/C3/C3_v110_portato_noped_t1.wav,C3,48,110,portato,0,1.14,1
data/piano_phase1/C3/C3_v30_legato_noped_t1.wav,C3,48,30,legato,0,2.251,1
data/piano_phase1/C3/C3_v90_staccato_ped_t2.wav,C3,48,90,staccato,1,0.696,2
data/piano_phase1/C3/C3_v110_portato_noped_t2.wav,C3,48,110,portato,0,1.14,2
